지역ID,맵,상위지역,지역명,기준,기준지역ID,몬스터1,원본좌표1,Y+10 좌표1,Y-10 좌표1,몬스터2,원본좌표2,Y+10 좌표2,Y-10 좌표2,몬스터3,원본좌표3,Y+10 좌표3,Y-10 좌표3
3551,아웃랜드,지옥불 반도,샤나르 폐허,상위지역 경계 대체,3483,간아그 일꾼 (19398),"679.262, 1822.740, 123.935","679.262, 1832.740, 123.935","679.262, 1812.740, 123.935",광기어린 지옥멧돼지 (16863),"-54.499, 2948.730, 21.942","-54.499, 2958.730, 21.942","-54.499, 2938.730, 21.942",새끼 돌낫 바위갈퀴 (16927),"-562.162, 3606.670, 29.422","-562.162, 3616.670, 29.422","-562.162, 3596.670, 29.422"
3552,아웃랜드,지옥불 반도,텔하마트 사원,상위지역 경계 대체,3483,간아그 일꾼 (19398),"679.262, 1822.740, 123.935","679.262, 1832.740, 123.935","679.262, 1812.740, 123.935",광기어린 지옥멧돼지 (16863),"-54.499, 2948.730, 21.942","-54.499, 2958.730, 21.942","-54.499, 2938.730, 21.942",새끼 돌낫 바위갈퀴 (16927),"-562.162, 3606.670, 29.422","-562.162, 3616.670, 29.422","-562.162, 3596.670, 29.422"
3553,아웃랜드,지옥불 반도,아고나르의 웅덩이,상위지역 경계 대체,3483,간아그 일꾼 (19398),"679.262, 1822.740, 123.935","679.262, 1832.740, 123.935","679.262, 1812.740, 123.935",광기어린 지옥멧돼지 (16863),"-54.499, 2948.730, 21.942","-54.499, 2958.730, 21.942","-54.499, 2938.730, 21.942",새끼 돌낫 바위갈퀴 (16927),"-562.162, 3606.670, 29.422","-562.162, 3616.670, 29.422","-562.162, 3596.670, 29.422"
3554,아웃랜드,지옥불 반도,매의 감시탑,상위지역 경계 대체,3483,간아그 일꾼 (19398),"679.262, 1822.740, 123.935","679.262, 1832.740, 123.935","679.262, 1812.740, 123.935",광기어린 지옥멧돼지 (16863),"-54.499, 2948.730, 21.942","-54.499, 2958.730, 21.942","-54.499, 2938.730, 21.942",새끼 돌낫 바위갈퀴 (16927),"-562.162, 3606.670, 29.422","-562.162, 3616.670, 29.422","-562.162, 3596.670, 29.422"
3555,아웃랜드,지옥불 반도,마그하르 거점,상위지역 경계 대체,3483,간아그 일꾼 (19398),"679.262, 1822.740, 123.935","679.262, 1832.740, 123.935","679.262, 1812.740, 123.935",광기어린 지옥멧돼지 (16863),"-54.499, 2948.730, 21.942","-54.499, 2958.730, 21.942","-54.499, 2938.730, 21.942",새끼 돌낫 바위갈퀴 (16927),"-562.162, 3606.670, 29.422","-562.162, 3616.670, 29.422","-562.162, 3596.670, 29.422"
3556,아웃랜드,지옥불 반도,하알에쉬 소굴,상위지역 경계 대체,3483,간아그 일꾼 (19398),"679.262, 1822.740, 123.935","679.262, 1832.740, 123.935","679.262, 1812.740, 123.935",광기어린 지옥멧돼지 (16863),"-54.499, 2948.730, 21.942","-54.499, 2958.730, 21.942","-54.499, 2938.730, 21.942",새끼 돌낫 바위갈퀴 (16927),"-562.162, 3606.670, 29.422","-562.162, 3616.670, 29.422","-562.162, 3596.670, 29.422"
3557,아웃랜드,,엑소다르,지역 경계 직접,3557,흑호 (17203),"-3771.760, -11861.400, 8.261","-3771.760, -11851.400, 8.261","-3771.760, -11871.400, 8.261",드레나이 축제 구경꾼 (23039),"-4004.880, -11858.200, 0.254","-4004.880, -11848.200, 0.254","-4004.880, -11868.200, 0.254",덩이줄기 덩굴손 (17197),"-3833.910, -11868.900, 3.416","-3833.910, -11858.900, 3.416","-3833.910, -11878.900, 3.416"
3558,아웃랜드,영원노래 숲,엘렌다르 폭포,상위지역 경계 대체,3430,광포한 용매 (15650),"9142.090, -7087.640, 24.552","9142.090, -7077.640, 24.552","9142.090, -7097.640, 24.552",성난비늘멀록 채집꾼 (15670),"9177.520, -5871.640, 4.845","9177.520, -5861.640, 4.845","9177.520, -5881.640, 4.845",긴발톱 갈기발 스라소니 (15651),"9380.260, -6671.180, 38.148","9380.260, -6661.180, 38.148","9380.260, -6681.180, 38.148"
3559,아웃랜드,하늘안개 섬,다닥나무 언덕,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3560,아웃랜드,하늘안개 섬,암멘 들판,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3561,아웃랜드,하늘안개 섬,신성한 숲,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3564,아웃랜드,하늘안개 섬,잿불숲,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3565,아웃랜드,장가르 습지대,세나리온 야영지,상위지역 경계 대체,3521,흙지느러미 프렌지 (18212),"347.457, 6980.590, -2.406","347.457, 6990.590, -2.406","347.457, 6970.590, -2.406",가시먹이 탈부크 (17131),"-710.857, 7118.450, 46.117","-710.857, 7128.450, 46.117","-710.857, 7108.450, 46.117",늪지대 가스 (17378),"18.561, 6916.930, 19.185","18.561, 6926.930, 19.185","18.561, 6906.930, 19.185"
3566,아웃랜드,하늘안개 섬,달날개 소굴,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3567,아웃랜드,하늘안개 섬,탈출선 착륙지,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3568,아웃랜드,하늘안개 섬,탈출선 잔해,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3569,아웃랜드,하늘안개 섬,파도 동굴,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3570,아웃랜드,하늘안개 섬,성난비늘 거점,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3571,아웃랜드,하늘안개 섬,뾰족가지 마을,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3572,아웃랜드,하늘안개 섬,너울소나무 요새,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3573,아웃랜드,하늘안개 섬,오디시우스의 정박지,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3574,아웃랜드,하늘안개 섬,발라르의 나루,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3575,아웃랜드,하늘안개 섬,개펄 해안,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3576,아웃랜드,하늘안개 섬,하늘 감시초소,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3577,아웃랜드,하늘안개 섬,기즐의 야영지,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3578,아웃랜드,하늘안개 섬,화물선 잔해,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3579,아웃랜드,하늘안개 섬,배신자의 만,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3580,아웃랜드,하늘안개 섬,갈기바람 봉우리,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3581,아웃랜드,하늘안개 섬,갈기바람 길,상위지역 경계 대체,3524,땅거미게 (17216),"-4026.500, -12945.500, -2.188","-4026.500, -12935.500, -2.188","-4026.500, -12955.500, -2.188",달새김 순록 (17201),"-4054.310, -12565.300, 42.189","-4054.310, -12555.300, 42.189","-4054.310, -12575.300, 42.189",달새김 사슴 (17200),"-4112.050, -12656.900, 27.304","-4112.050, -12646.900, 27.304","-4112.050, -12666.900, 27.304"
3582,아웃랜드,지옥불 반도,제스고르,상위지역 경계 대체,3483,간아그 일꾼 (19398),"679.262, 1822.740, 123.935","679.262, 1832.740, 123.935","679.262, 1812.740, 123.935",광기어린 지옥멧돼지 (16863),"-54.499, 2948.730, 21.942","-54.499, 2958.730, 21.942","-54.499, 2938.730, 21.942",새끼 돌낫 바위갈퀴 (16927),"-562.162, 3606.670, 29.422","-562.162, 3616.670, 29.422","-562.162, 3596.670, 29.422"
3583,아웃랜드,핏빛안개 섬,녹주석 해안,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3584,아웃랜드,핏빛안개 섬,핏빛 감시초소,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3585,아웃랜드,핏빛안개 섬,칼날숲,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3586,아웃랜드,핏빛안개 섬,벡터 코일,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3587,아웃랜드,핏빛안개 섬,초공간 추진기,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3588,아웃랜드,핏빛안개 섬,극저온 핵,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3589,아웃랜드,핏빛안개 섬,진홍 해안,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3590,아웃랜드,핏빛안개 섬,성난비늘 둥지,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3591,아웃랜드,핏빛안개 섬,로레스아란 폐허,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3592,아웃랜드,핏빛안개 섬,나지비안,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3593,아웃랜드,핏빛안개 섬,악사리엔,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3594,아웃랜드,핏빛안개 섬,검은진흙 해안,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3595,아웃랜드,핏빛안개 섬,타락의 웅덩이,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3596,아웃랜드,핏빛안개 섬,숨은 산호초,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3597,아웃랜드,핏빛안개 섬,호박그물 고개,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3598,아웃랜드,핏빛안개 섬,고룡흉터 섬,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3599,아웃랜드,핏빛안개 섬,갈퀴발톱 언덕,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3600,아웃랜드,핏빛안개 섬,뾰족가지 군락,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3601,아웃랜드,핏빛안개 섬,성난깃털 마루,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3602,아웃랜드,핏빛안개 섬,케셀의 길목,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3603,아웃랜드,핏빛안개 섬,텔아시온의 야영지,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3604,아웃랜드,핏빛안개 섬,핏빛저주의 산호초,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3608,아웃랜드,핏빛안개 섬,구원자의 안식처,상위지역 경계 대체,3525,엉겅퀴 덩굴손 (17343),"-1810.340, -11764.700, 31.863","-1810.340, -11754.700, 31.863","-1810.340, -11774.700, 31.863",사나운 갈퀴발톱 (17527),"-1807.060, -11268.300, 59.628","-1807.060, -11258.300, 59.628","-1807.060, -11278.300, 59.628",새끼 핏빛안개 갈퀴발톱 (17525),"-2517.940, -11990.100, 25.615","-2517.940, -11980.100, 25.615","-2517.940, -12000.100, 25.615"
3609,아웃랜드,나그란드,미사용3,상위지역 경계 대체,3518,가시먹이 탈부크 (17131),"-1752.870, 7511.080, -8.561","-1752.870, 7521.080, -8.561","-1752.870, 7501.080, -8.561",줄무늬 탈부크 (17130),"-1807.370, 6928.020, -38.603","-1807.370, 6938.020, -38.603","-1807.370, 6918.020, -38.603",갈래발굽 (18205),"-1801.260, 7089.440, -21.895","-1801.260, 7099.440, -21.895","-1801.260, 7079.440, -21.895"
3610,아웃랜드,나그란드,불타는 칼날 폐허,상위지역 경계 대체,3518,가시먹이 탈부크 (17131),"-1752.870, 7511.080, -8.561","-1752.870, 7521.080, -8.561","-1752.870, 7501.080, -8.561",줄무늬 탈부크 (17130),"-1807.370, 6928.020, -38.603","-1807.370, 6938.020, -38.603","-1807.370, 6918.020, -38.603",갈래발굽 (18205),"-1801.260, 7089.440, -21.895","-1801.260, 7099.440, -21.895","-1801.260, 7079.440, -21.895"
3611,아웃랜드,나그란드,부족 초소,상위지역 경계 대체,3518,가시먹이 탈부크 (17131),"-1752.870, 7511.080, -8.561","-1752.870, 7521.080, -8.561","-1752.870, 7501.080, -8.561",줄무늬 탈부크 (17130),"-1807.370, 6928.020, -38.603","-1807.370, 6938.020, -38.603","-1807.370, 6918.020, -38.603",갈래발굽 (18205),"-1801.260, 7089.440, -21.895","-1801.260, 7099.440, -21.895","-1801.260, 7079.440, -21.895"
